Name,Description
king.com.CandyCrushSaga,
Microsoft.549981C3F5F10,Cortana
Microsoft.BingFinance,
Microsoft.BingNews,
Microsoft.BingSports,
Microsoft.BingWeather,
Microsoft.GetHelp,
Microsoft.Getstarted,
Microsoft.MicrosoftSolitaireCollection,
Microsoft.Office.OneNote,
Microsoft.People,
Microsoft.SkypeApp,Skype
Microsoft.Windows.Photos,
microsoft.windowscommunicationsapps,Mail & Calendar (metro)
Microsoft.WindowsPhone,
Microsoft.Xbox.TCUI,
Microsoft.XboxApp,
Microsoft.XboxGameOverlay,
Microsoft.XboxGamingOverlay,
Microsoft.XboxIdentityProvider,
Microsoft.XboxSpeechToTextOverlay,
Microsoft.ZuneMusic,Groove Music
Microsoft.ZuneVideo,
MicrosoftCorporationII.QuickAssist,
